,city,Long,Lat,Temp (k),Humidity,Cloudiness,Wind Speed,Country,Date
312,lompoc,-120.46,34.64,299.23,54,1,7.2,US,1597619502
313,shahpura,75.97,27.38,300.15,100,40,1.06,IN,1597619928
314,genc,40.56,38.75,292.03,31,0,1.98,TR,1597619928
315,xining,101.77,36.62,283.92,82,100,1.59,CN,1597619593
316,patti,74.86,31.28,303.15,84,40,1.0,IN,1597619929
317,kundiawa,144.97,-6.02,294.37,66,62,0.6,PG,1597619929
318,usolye-sibirskoye,103.65,52.75,283.72,70,18,1.25,RU,1597619929
319,amahai,128.92,-3.33,298.49,85,90,2.9,ID,1597620093
320,petropavlovsk-kamchatskiy,158.65,53.05,290.15,77,20,2.0,RU,1597619599
321,kendari,122.5,-3.94,296.64,89,88,1.2,ID,1597619930
322,la orilla,-102.23,17.98,303.1,71,51,2.67,MX,1597619582
323,porto novo,2.6,6.5,297.15,94,40,4.6,BJ,1597619930
324,kahului,-156.47,20.89,301.26,55,20,9.3,US,1597619398
325,chicama,-79.15,-7.84,290.81,74,18,3.96,PE,1597619931
326,xifeng,124.72,42.74,295.5,75,100,1.46,CN,1597619931
327,kailua,-157.74,21.4,302.14,65,1,4.1,US,1597619604
328,port-gentil,8.78,-0.72,297.15,94,90,5.47,GA,1597619608
329,berdigestyakh,126.7,62.1,283.32,60,72,2.33,RU,1597619562
330,kashi,75.98,39.45,298.15,33,63,2.0,CN,1597619932
331,fortuna,-124.16,40.6,294.39,68,38,1.34,US,1597619585
332,mayo,-76.51,38.89,295.41,80,90,4.6,US,1597619613
333,ust-kut,105.77,56.79,282.35,67,0,2.05,RU,1597619933
334,dentsville,-80.96,34.06,301.37,58,1,1.5,US,1597619933
335,belaya gora,146.42,68.53,280.89,69,95,5.79,RU,1597619549
336,aksarka,67.8,66.56,279.08,82,31,0.7,RU,1597619934
337,toamasina,49.38,-18.17,293.3,86,84,1.53,MG,1597619934
338,umm kaddadah,26.69,13.6,302.61,53,92,3.02,SD,1597619934
339,banjar,114.97,-8.19,299.15,100,75,3.6,ID,1597619935
340,zambezi,23.1,-13.54,288.91,31,0,1.49,ZM,1597619935
341,lewisporte,-55.05,49.25,294.21,35,5,2.1,CA,1597619935
342,eenhana,16.33,-17.47,290.15,29,0,0.5,NA,1597619935
343,waverley,28.26,-25.7,280.43,48,0,2.6,ZA,1597619936
344,enumclaw,-121.99,47.2,307.88,28,40,2.33,US,1597619936
345,hami,93.45,42.8,294.96,23,0,1.43,CN,1597620099
346,darhan,105.92,49.49,287.28,66,100,2.75,MN,1597619937
347,baruun-urt,113.28,46.68,290.43,86,100,2.86,MN,1597619693
348,axim,-2.24,4.87,296.35,87,12,3.19,GH,1597619502
349,chechat,75.88,24.77,299.13,89,3,4.92,IN,1597619937
350,najran,44.13,17.49,303.15,23,40,2.31,SA,1597619886
351,srednekolymsk,153.68,67.45,281.22,60,56,5.91,RU,1597619555
352,inuvik,-133.72,68.35,284.15,81,90,2.1,CA,1597619938
353,seddon,144.89,-37.81,284.07,81,90,3.6,AU,1597619938
